ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
(-)3xSLv1 	 NegativeControl 	1.350879	1.648673	1.728847	1.511524	1.123121	1.257557	1.700734	1.155665	1.601871	1.661019	1.643408	1.604354	1.157559	1.51897	1.191862	1.305966	1.638959	1.619778	1.561233	1.392593	1.663912	1.48392	1.44619	-0.09132631	0.2177225	-0.271319	0.03772985	0.4528764	0.2699925	0.02259703	0.8328119	0.7923557	0.928386	0.306051	0.9646805
SCorner3 	 SCorner3 	14.47353	14.53785	14.37781	14.39429	14.0625	14.26919	14.37693	14.23268	14.32311	14.34814	14.39499	14.20092	14.19275	14.28732	14.10976	14.26653	14.05086	14.15489	14.07494	14.33528	14.34969	14.2184	14.14086	0.1168846	0.2088287	-0.01440546	0.07753858	0.1689583	0.01439217	0.8251192	0.2500884	0.5635289	0.928386	0.9749564	0.8373919
miRNABrightCorner30 	 miRNABrightCorner30 	13.55572	13.24526	13.14256	12.84673	12.75378	12.64031	12.83715	12.72912	12.96947	12.83917	13.04112	12.65964	12.86464	12.59748	12.49351	12.50135	12.56859	12.49634	12.25677	12.94401	12.98373	12.64362	12.53925	0.3003936	0.4444837	-0.03972515	0.1043649	0.0737562	0.1118585	0.8020616	0.6312335	0.4840295	0.928386	0.9739028	0.9229399
A_54_P2868 	 mmu-miR-671-5p 	4.155654	3.581262	3.260595	3.514067	2.451898	4.153848	3.958364	4.417887	2.848236	3.673006	2.515232	2.879107	2.831817	2.298897	3.342343	4.107407	2.761257	3.441091	3.125084	3.747569	3.260612	2.984041	3.132664	0.7635281	0.1279482	0.4869565	-0.1486234	0.06086941	0.6896833	0.2046469	0.6562723	0.4652592	0.9605641	0.8221174	0.937587
A_54_P3669 	 mmu-miR-30b 	8.080748	6.929523	7.707121	7.369058	6.880042	6.599782	7.379472	7.198266	7.083911	6.234721	7.265978	6.793652	7.520217	6.86169	6.756039	7.52906	7.067054	7.261524	7.076361	7.20527	7.008584	7.045579	7.286034	0.1596913	-0.27745	0.1966859	-0.2404554	0.4829598	0.5884478	0.7022164	0.2314739	0.8155434	0.9375173	0.9676963	0.8234925
A_54_P2317 	 mmu-miR-146a 	6.311774	5.15826	7.329283	5.81219	5.644645	5.847433	6.414794	6.65084	5.208625	5.907449	5.946286	5.046277	5.087316	5.211378	5.227363	5.778067	5.298703	5.439214	5.947816	5.977134	6.148452	5.418012	5.491449	0.5591215	0.6570035	-0.1713184	-0.07343645	0.04269297	0.4095637	0.8140262	0.8140803	0.4391164	0.928386	0.9749564	0.9628045
NC2_00092197 	 NC2_00092197 	2.267002	2.91199	2.997214	2.35022	2.395512	2.893615	2.856349	2.350495	2.738637	3.094262	2.858896	2.649391	2.614021	2.96377	2.847341	2.3887	2.52195	2.927077	2.694912	2.575026	2.943371	2.705008	2.745337	-0.129982	0.1980343	-0.3683449	-0.04032862	0.3857333	0.23567	0.05188949	0.7687154	0.7444652	0.928386	0.4712787	0.9556333
A_54_P1145 	 mmu-miR-190 	2.367196	3.019413	2.916815	2.466393	2.579229	2.726718	2.980344	2.267636	2.124638	2.72531	2.62366	2.60429	2.074449	2.561602	3.025895	2.435371	2.463934	3.192266	2.759244	2.629561	2.588921	2.619125	2.67532	0.01043615	-0.08639875	0.04064043	-0.05619446	0.9422184	0.841828	0.8873004	0.8810845	0.986231	0.9712062	0.9829443	0.9721649
A_54_P2268 	 mmu-miR-101a 	8.000552	6.785897	7.994228	7.138436	6.493505	6.853077	7.044036	6.563455	7.258531	6.818615	6.960865	7.02494	7.569462	6.408723	6.724549	7.638509	7.208731	7.503168	6.891095	6.982708	7.357125	6.994386	7.321242	-0.01167773	0.03588302	-0.3744164	-0.3268557	0.9645135	0.934447	0.404248	0.2933776	0.986231	0.9761747	0.955219	0.8564537
A_54_P3153 	 mmu-miR-574-5p 	4.70625	4.344061	4.237389	3.514722	3.674791	4.161963	4.551084	4.481406	4.176107	3.816185	3.611801	4.132766	3.922685	3.732497	3.645222	3.617134	3.352884	3.739626	4.589676	4.204897	4.07656	3.682051	4.083996	0.522846	-0.007435569	0.1283364	-0.4019452	0.02653696	0.9811567	0.5692832	0.2550613	0.3531557	0.9925225	0.9676963	0.8446783
hur_4_27 	 hur_4 	10.42146	9.522528	10.23545	10.19663	9.189795	9.520656	10.19422	9.809056	9.70139	9.492744	9.654585	9.07732	9.291746	9.251924	8.375624	9.26409	8.937631	8.982948	9.230112	9.836336	9.809862	9.09353	9.168269	0.7428068	0.6415931	0.02647395	-0.07473966	0.01118153	0.08464414	0.9284683	0.7171753	0.2588086	0.928386	0.9922076	0.9510076
A_54_P2659 	 mmu-miR-7a 	5.632722	4.881395	4.971957	4.483075	4.890255	4.611557	6.083016	5.028358	4.976937	4.336955	4.963606	4.659207	5.15064	4.130421	4.33384	5.048932	5.20137	4.978099	5.023771	5.087197	4.76195	4.722896	5.050837	0.3643008	-0.2888869	0.325247	-0.3279407	0.2157666	0.3054701	0.3239857	0.1210489	0.6169328	0.928386	0.9180514	0.6444808
A_54_P2253 	 mmu-let-7i 	7.774634	7.135951	8.216352	7.466282	6.881649	7.283202	7.785134	7.645641	7.370623	6.974427	7.523215	6.831281	7.040806	6.91969	6.702848	7.409264	6.862014	7.147156	7.051074	7.424642	7.520467	7.041385	7.079678	0.3832565	0.4407886	-0.0958251	-0.03829303	0.0684205	0.3517544	0.8238405	0.7975695	0.4840295	0.928386	0.9749564	0.9628045
A_54_P3729 	 mmu-miR-30e 	7.794428	6.445107	7.440687	6.658285	6.208736	7.1296	7.050599	6.661692	6.867584	6.505705	6.601217	6.594243	7.35204	5.961319	6.393416	7.441593	6.969823	7.32716	6.940114	6.849778	6.937992	6.660268	7.206438	0.1895097	-0.2684459	-0.08821382	-0.5461694	0.5217746	0.4429075	0.805582	0.06142409	0.8391874	0.928386	0.9741047	0.469499
NC2_00122731 	 NC2_00122731 	2.759809	2.832757	2.915385	2.447334	2.510549	2.942024	3.059497	2.492735	2.954261	2.921549	2.880107	2.783976	2.682493	2.83008	2.723185	2.53868	2.608094	2.644329	2.855508	2.720672	2.930399	2.727354	2.727443	-0.006681594	0.2029552	-0.2097264	-8.96E-05	0.9509648	0.0843652	0.06120748	0.9991954	0.986231	0.928386	0.5136106	0.9994419
A_54_P2484 	 mmu-miR-26b 	10.15916	9.186043	10.48432	10.06912	9.706086	8.320719	10.1464	10.04207	9.700034	8.756219	9.801636	9.093846	9.544638	9.331022	9.091047	9.759305	9.332952	9.239492	8.864383	9.661371	9.646859	9.401635	9.216171	0.2597366	0.4306876	0.01451281	0.1854638	0.39285	0.489104	0.9809759	0.4757719	0.747786	0.930536	0.9942935	0.891705
A_54_P1005 	 mmu-miR-15b 	7.47868	7.242758	7.871221	7.340432	7.058232	6.314948	8.169128	7.985552	7.320669	6.455081	7.568166	6.509441	6.327861	6.778642	6.413042	7.043559	6.609742	6.437648	6.00875	7.369961	7.215657	6.820432	6.258087	0.5495295	0.9575707	0.1543041	0.5623452	0.085941	0.135993	0.7635105	0.03658893	0.4840295	0.928386	0.9676963	0.3526947
A_54_P2281 	 mmu-miR-125b-5p 	4.867427	3.03135	4.941071	3.347721	2.741093	3.88683	3.299877	3.131726	3.415435	2.629435	3.572713	2.582132	3.78445	2.779886	3.260571	3.449818	3.831865	4.35858	4.236718	3.472289	3.66198	3.246164	4.126583	0.2261248	-0.4646023	-0.1896914	-0.8804185	0.5100151	0.5684492	0.8137078	0.01442126	0.8287302	0.9375173	0.9749564	0.2420264
A_54_P1432 	 mmu-miR-25 	4.637816	3.099242	4.292678	3.549218	3.497075	3.475006	4.675652	3.093595	3.735224	3.480187	3.354439	1.765347	2.883929	3.292805	2.331779	2.706089	3.469494	3.219137	2.839355	3.718229	3.83603	2.819992	2.980807	0.898237	0.8552225	-0.1178005	-0.160815	0.03595124	0.05116165	0.7460527	0.6114618	0.4042427	0.928386	0.9676963	0.90756
A_54_P2681 	 mmu-miR-378 	4.799664	3.597207	4.832983	4.60291	2.685268	4.021473	4.395739	4.105051	4.070698	3.751681	2.814958	3.472414	4.786174	3.207069	3.425154	4.534173	3.862095	4.497325	4.45816	4.029616	4.218454	3.552644	4.580553	0.4769722	-0.3620989	-0.188838	-1.027909	0.2142553	0.3782726	0.6711758	0.006764198	0.6169328	0.928386	0.9676963	0.1631863
A_54_P4409 	 mmu-miR-497 	6.523507	5.37802	7.017193	6.053951	5.372963	6.144907	5.992917	5.614308	5.533988	5.314329	6.311395	5.691949	5.912402	5.826372	6.065099	6.65271	6.174162	6.262294	6.143314	5.868653	5.95517	6.120281	6.106003	-0.2516279	-0.1508334	-0.0865167	0.01427781	0.2664972	0.8062018	0.8891384	0.937079	0.6594097	0.9673888	0.9829443	0.9766643
A_54_P3561 	 mmu-miR-376b* 	3.240747	3.489245	2.190307	4.680135	3.583822	2.380805	2.940779	4.218024	2.12288	1.543905	5.304243	3.460336	1.552731	4.120753	3.02737	3.179756	3.317573	2.088384	2.234944	3.504794	1.952364	3.735005	1.958686	-0.2302113	-0.006322327	1.55243	1.776319	0.6234325	0.9837451	0.002613589	0.003304556	0.8962568	0.9927467	0.05934385	0.1109181
A_54_P3463 	 mmu-miR-29a* 	3.301477	3.389383	3.866284	1.983534	1.506336	1.486057	3.081894	1.858886	3.0479	2.028296	2.452102	1.34802	1.00681	2.065976	1.665582	2.554741	3.054373	3.31473	3.227542	2.37251	2.980827	2.190132	2.51636	0.1823771	0.4644667	-0.6083174	-0.3262278	0.6656495	0.6442827	0.3891736	0.7151699	0.9085656	0.9605641	0.955219	0.9510076
A_54_P1267 	 mmu-miR-19b 	9.27754	7.887778	8.743652	8.557452	8.009254	8.371632	9.09915	8.505675	7.925333	7.75169	8.836168	7.685557	8.374015	8.151444	7.785532	8.712373	8.092523	8.347771	7.668337	8.529783	8.140225	8.2106	8.130041	0.3191835	0.01018435	0.3895577	0.08055847	0.269095	0.9801639	0.346937	0.8000181	0.6598331	0.9925225	0.9299839	0.9628045
A_54_P4391 	 mmu-miR-365 	8.335816	7.301097	8.151892	6.764875	6.590888	5.15753	7.634181	7.86483	7.096143	6.154525	6.767832	7.314166	8.243193	6.495256	6.901432	7.944982	7.447604	7.853462	7.660756	7.092745	7.134187	7.145212	7.919137	-0.05246667	-0.7849507	-0.04144119	-0.7739253	0.909792	0.3051852	0.9555907	0.02729439	0.982321	0.928386	0.9922076	0.307792
A_54_P2578 	 mmu-miR-345-5p 	6.44585	4.954613	7.815988	4.69248	4.133206	4.627946	5.347527	5.028496	7.009103	6.05227	4.749033	5.478393	6.364073	4.41406	5.016807	6.319652	5.735661	6.223936	5.719193	5.032874	6.95912	5.285601	6.1024	-0.2527273	0.8567197	-1.926246	-0.8167995	0.5367446	0.2291096	0.03995691	0.05021162	0.8456466	0.928386	0.4239771	0.422716
A_54_P1499 	 mmu-miR-361 	4.351224	4.109705	5.521913	4.448225	3.612927	4.489911	4.895771	4.786097	4.930286	4.032328	4.162747	3.287088	3.308046	2.89675	2.390943	4.087548	3.283777	3.723112	3.078769	4.384837	4.828176	3.351476	3.369975	1.033362	1.4582	-0.4433385	-0.01849981	0.01227033	0.06088493	0.4186026	0.9577471	0.2631304	0.928386	0.955219	0.9841027
A_54_P2610 	 mmu-miR-139-3p 	4.271058	4.655669	3.678435	4.289433	3.047158	4.866711	4.82734	4.701538	4.406368	4.691241	4.00708	3.169334	3.099294	3.589581	2.514684	3.747453	2.442301	4.902432	6.615924	4.379844	4.258682	3.245072	4.87255	1.134771	-0.6138682	0.121162	-1.627478	0.00943144	0.6129565	0.7665923	0.2460331	0.2275335	0.9445158	0.9676963	0.8367294
A_54_P2834 	 mmu-miR-20b 	5.428164	4.315517	5.141017	3.984684	3.896747	3.948355	5.441892	4.719763	4.414133	3.983243	4.604719	3.877163	4.332562	4.089055	3.75405	4.839483	4.212788	4.633768	4.225101	4.533589	4.512797	4.229543	4.397144	0.3040459	0.1156536	0.02079155	-0.1676007	0.3470432	0.7723839	0.9630048	0.4528081	0.7219893	0.9608407	0.9942935	0.891705
A_54_P2453 	 mmu-let-7d 	10.07939	9.43516	10.80786	9.722182	9.096637	8.445463	10.03115	9.867716	10.11445	8.96588	9.695363	9.287974	9.693223	9.15398	8.98536	9.813585	9.51937	9.399151	9.18865	9.525385	9.96273	9.409272	9.427008	0.1161129	0.5357214	-0.4373448	-0.0177364	0.6630237	0.4260102	0.5116502	0.931498	0.9085656	0.928386	0.9639152	0.9757347
A_54_P2746 	 mmu-miR-450a-5p 	1.022538	1.439039	2.436344	1.624499	0.9128061	1.687531	2.196422	2.261606	1.102817	1.746443	1.731988	1.384221	1.360864	1.866088	1.479161	1.553848	1.944027	1.410554	1.537465	1.592063	1.761868	1.659889	1.436294	-0.06782588	0.3255734	-0.1698049	0.2235943	0.7624217	0.4875635	0.7199874	0.07114723	0.9447665	0.930536	0.9676963	0.4904077
A_54_P2404 	 mmu-miR-143 	4.273451	2.012168	3.68415	1.686855	2.0782	3.057804	3.006281	1.762024	1.419997	1.473398	2.75711	1.434601	3.263056	2.780132	3.614229	4.430568	3.577373	4.973962	4.974623	2.553826	2.192515	3.099002	4.40388	-0.545176	-2.211365	0.3613109	-1.304878	0.3436214	0.08257632	0.6918854	0.13481	0.7208579	0.928386	0.9676963	0.6758005
A_54_P1625 	 mmu-miR-451 	12.12425	10.40258	11.02879	11.2774	10.40371	11.18688	11.90283	11.00851	11.32332	11.58773	10.84471	10.75434	9.92497	10.93697	10.84595	11.83357	10.91727	11.69194	10.38987	11.1866	11.31328	11.02213	10.66892	0.1644614	0.6443534	-0.1266819	0.3532101	0.5962652	0.3477151	0.6830337	0.5792191	0.8851531	0.928386	0.9676963	0.90756
A_54_P2476 	 mmu-miR-18a 	2.129971	0.8270616	2.623854	1.534979	1.666347	1.764307	3.162301	2.403042	0.9367541	1.389944	1.480024	1.308734	0.1999147	2.530281	1.686844	2.132879	1.646185	1.807523	1.49783	1.926858	1.650184	1.797491	1.168423	0.1293671	0.4817615	0.2766744	0.6290688	0.7065608	0.5317753	0.6609275	0.3298898	0.9190644	0.9317511	0.9676963	0.8585158
A_54_P2285 	 mmu-miR-126-3p 	9.735568	8.886055	10.03493	9.262462	8.571514	8.589704	9.550007	8.833191	8.874665	8.383997	9.064571	8.841469	8.95787	8.777227	8.592755	9.336328	8.909992	8.97017	8.964968	9.061214	9.097863	8.92039	8.964336	0.1408242	0.1335267	-0.03664824	-0.04394572	0.5051859	0.8105978	0.9489747	0.6918451	0.8277888	0.9673888	0.9922076	0.9510076
A_54_P1282 	 mmu-miR-200a 	2.433316	1.616417	3.65104	1.157975	0.8150251	0.9001778	2.121014	1.862081	1.827766	0.4365064	1.312227	1.298294	1.443104	0.8160255	2.255986	2.332187	2.737536	3.360037	2.726574	1.558001	1.971771	1.792043	2.509905	-0.234042	-0.5381343	-0.41377	-0.7178623	0.5588603	0.6520729	0.7041325	0.3393502	0.8624687	0.9605641	0.9676963	0.8593167
A_54_P1268 	 mmu-miR-19b 	7.808844	6.298145	7.06119	6.173403	6.473486	6.779288	7.48607	6.770426	6.206492	6.140917	7.198163	5.914513	6.665813	6.442748	6.088334	6.949474	6.325451	6.691841	5.844895	6.827095	6.469533	6.486447	6.40085	0.3406475	0.06868332	0.3575616	0.08559738	0.291182	0.8740423	0.3884989	0.8152498	0.6811894	0.9712062	0.955219	0.9628045
A_54_P1154 	 mmu-miR-195 	6.473768	5.182528	6.569663	5.873037	5.254378	5.584775	5.726507	5.406738	5.31292	4.949263	6.081567	5.398982	5.703256	5.558207	5.765082	6.504849	6.044606	5.990419	5.932812	5.643105	5.610615	5.892215	5.875496	-0.2491109	-0.2648805	0.03248934	0.01671972	0.3100075	0.6455568	0.9547381	0.9308836	0.6873266	0.9605641	0.9922076	0.9757347
A_54_P2561 	 mmu-miR-340-3p 	3.053927	3.095997	3.803663	2.383215	1.952767	2.33181	3.778503	3.201346	2.663702	1.881361	2.653923	2.190803	2.265099	2.793461	2.538763	2.930025	1.82427	3.111744	2.223996	2.828224	2.782909	2.488541	2.533613	0.3396828	0.2492958	0.04531495	-0.04507201	0.2695742	0.7181942	0.9455344	0.9003859	0.6598331	0.9605641	0.9922076	0.9721649
A_54_P2325 	 mmu-miR-151-5p 	6.258839	5.839717	6.980466	5.471508	5.353197	5.434078	6.528215	6.510892	6.040438	5.36141	5.951472	5.221243	5.724974	5.492443	5.13252	5.894742	5.471976	5.564023	5.565261	5.913778	6.127438	5.527399	5.618086	0.3863786	0.509352	-0.21366	-0.0906867	0.135607	0.3912893	0.705183	0.5608319	0.5290273	0.928386	0.9676963	0.9067773
A_54_P3129 	 mmu-miR-467c 	2.829481	0.9435197	3.042767	2.463922	1.824773	3.941161	4.555091	3.984476	3.299651	2.931302	0.7688206	1.993971	1.685979	2.494601	1.624735	3.207761	1.741553	2.704515	1.748202	2.934632	3.09124	1.971907	2.046232	0.962725	1.045008	-0.156608	-0.07432514	0.1370537	0.07459551	0.76566	0.8801695	0.5290273	0.928386	0.9676963	0.9721649
dmr_285_19 	 dmr_285 	12.10534	12.24861	12.03507	12.13413	11.94004	11.51398	12.03065	12.11381	12.06137	11.72855	12.05536	12.10993	12.17503	12.00835	11.93278	12.12814	12.10759	11.94651	11.99664	12.01237	11.94166	12.05703	12.03939	-0.04465955	-0.09772806	0.07070183	0.01763332	0.6535994	0.4922458	0.6348071	0.8319777	0.9085656	0.930536	0.9676963	0.9646805
A_54_P1382 	 mmu-miR-148b 	5.626056	5.059304	6.786565	5.315589	4.820661	4.947674	5.902292	6.279456	6.052902	5.186971	4.988963	4.780503	5.029527	4.597413	4.070384	5.131571	4.632495	4.844336	4.738782	5.421576	6.008813	4.700222	4.870882	0.7213543	1.137931	-0.5872368	-0.1706601	0.01649342	0.1285962	0.3339932	0.3587139	0.2829538	0.928386	0.9199585	0.8744774
A_54_P2356 	 mmu-miR-185 	4.332211	3.865218	4.144569	3.603865	3.400671	3.820231	4.006283	5.435298	3.99308	3.147616	3.393259	2.364704	3.013047	1.507797	1.273058	3.860439	3.527235	3.126746	2.594443	4.066254	3.761755	2.654415	2.911412	1.411839	0.8503431	0.3044989	-0.2569967	0.02565592	0.092887	0.4826826	0.6098001	0.3531557	0.928386	0.9618263	0.90756
A_54_P2477 	 mmu-miR-18a 	3.980999	2.519021	4.109422	3.567228	2.362212	3.27019	4.562533	4.181255	3.252477	2.673715	3.592823	2.505882	2.112069	2.764334	2.280751	3.380807	1.84232	3.193185	2.143947	3.49192	3.345205	2.727819	2.483067	0.7641004	0.8621376	0.1467152	0.2447524	0.0927287	0.1924186	0.7912854	0.6105059	0.4840295	0.928386	0.9696386	0.90756
A_54_P2452 	 mmu-let-7d 	8.564	7.806668	9.173499	8.09505	7.505617	6.889914	8.413721	8.35277	8.363588	7.376871	8.065145	7.669719	8.054245	7.518484	7.310435	8.164768	7.767673	7.738032	7.430955	7.94682	8.304653	7.74937	7.741077	0.1974495	0.5635757	-0.3578328	0.00829339	0.4669695	0.3949461	0.5752649	0.9720563	0.798557	0.928386	0.9676963	0.9926289
A_54_P4365 	 mmu-miR-101a 	8.219572	6.998947	8.298407	7.322331	6.740303	7.073203	7.256822	6.827822	7.533184	7.069194	7.162113	7.252734	7.775739	6.589287	6.897178	7.793564	7.353599	7.716622	7.130508	7.205572	7.633595	7.174746	7.540956	0.03082566	0.09263832	-0.4280232	-0.3662106	0.9043852	0.8362507	0.363756	0.229705	0.9792221	0.9712062	0.9360248	0.8234925
A_54_P2441 	 mmu-miR-301a 	3.308975	3.556405	4.33895	1.928298	3.083621	2.632026	4.076716	3.887297	4.040657	2.553135	3.416053	2.662715	2.001721	2.744323	3.198377	3.009422	2.904033	3.257802	2.586266	3.210477	3.644247	2.989154	2.615263	0.2213229	1.028984	-0.4337705	0.3738905	0.4881704	0.2054057	0.5329461	0.4140594	0.8175002	0.928386	0.9639152	0.8797167
A_54_P1438 	 mmu-miR-100 	5.215395	3.311087	4.57877	3.583811	3.537064	4.168574	3.921943	3.025938	4.142021	3.511339	3.916869	3.356548	4.737639	3.688069	3.743896	4.866015	4.224155	4.945829	4.834047	3.823402	4.077377	3.965925	4.839172	-0.1425237	-0.7617952	-0.2539748	-0.8732463	0.6885936	0.1283974	0.563619	0.008506796	0.915027	0.928386	0.9676963	0.1831566
A_54_P1305 	 mmu-miR-20a 	6.580313	5.557367	6.309949	5.698654	5.408245	4.908228	6.724984	5.987884	5.698998	5.113545	5.845987	5.164479	5.678799	5.482582	4.941281	5.993261	5.202298	5.591985	5.450916	5.837953	5.707497	5.438315	5.5739	0.3996387	0.1335977	0.130456	-0.135585	0.2072592	0.7383678	0.7726633	0.481569	0.6154004	0.9605641	0.9676963	0.8932337
A_54_P2675 	 mmu-miR-362-3p 	3.959469	3.252059	3.441539	3.20899	2.409172	3.312386	4.004644	3.541345	2.113501	1.873656	3.81967	2.760611	2.271063	3.293342	2.737818	3.412481	2.294149	2.413519	1.332073	3.384009	2.476232	3.053012	2.005552	0.3309973	0.47068	0.9077776	1.04746	0.3011395	0.4774567	0.1932306	0.06412192	0.6873266	0.928386	0.8221174	0.4714488
A_54_P1169 	 mmu-miR-203 	5.122665	2.016233	4.847308	0.8100246	1.682357	2.167697	3.520185	2.61291	4.090673	3.526922	1.999602	3.012242	4.877164	0.7150249	3.379447	4.471153	3.584105	4.560912	4.10424	2.561724	4.154968	2.860262	4.514105	-0.2985378	-0.3591377	-1.593243	-1.653843	0.7007169	0.4734094	0.04196094	0.02804794	0.9190644	0.928386	0.4262348	0.3093287
A_54_P2467 	 mmu-let-7a 	10.32069	9.42845	10.83791	9.792994	9.257748	8.37762	9.891348	9.582554	9.855363	9.041526	9.81638	9.376211	9.828786	9.29778	9.149171	9.866206	9.5496	9.449776	9.311407	9.52163	9.911598	9.509225	9.52999	0.01240511	0.3816088	-0.3899689	-0.0207652	0.9628927	0.5445255	0.5445675	0.9196037	0.986231	0.9362443	0.9676963	0.9756364
A_54_P1423 	 mmu-miR-10a 	7.393927	5.965903	7.175102	6.131499	5.887826	5.797728	6.63175	6.054629	5.91638	5.274726	6.754257	6.350675	7.145747	6.490334	6.583459	7.311476	6.678057	6.796153	6.802484	6.26618	6.12207	6.69471	6.914795	-0.4285294	-0.7927248	0.1441105	-0.220085	0.1222204	0.2896788	0.8271379	0.2608798	0.5184294	0.928386	0.9749564	0.8457684
A_54_P2082 	 mmu-miR-705 	2.730329	4.013692	2.546405	4.186146	2.214769	2.637526	3.740148	3.902103	2.066389	1.320287	4.054744	1.760707	2.047917	3.210223	0.8976628	1.870147	2.665545	3.208014	3.485092	3.346387	1.977694	2.409838	2.913674	0.9365491	-0.9359802	1.368693	-0.5038359	0.1241986	0.1769426	0.03241426	0.4602337	0.52075	0.928386	0.3791486	0.891705
A_54_P2640 	 mmu-miR-221 	5.011226	4.972812	6.710113	5.156739	4.638079	5.16893	5.572076	5.142244	5.706891	4.998349	5.184094	4.432234	4.725665	4.495206	4.159673	4.72389	4.245457	4.941112	4.667366	5.094586	5.805118	4.540092	4.778048	0.5544941	1.02707	-0.7105315	-0.2379554	0.01473458	0.1713671	0.2867882	0.2128407	0.2788578	0.928386	0.879569	0.8132297
A_54_P4390 	 mmu-miR-365 	8.00041	7.027866	7.789866	7.572066	6.177886	4.69134	7.203478	7.479008	6.741479	5.91676	6.479171	7.022187	7.889648	6.188503	6.484981	7.587859	7.138958	7.536827	7.3357	6.878865	6.816035	6.816943	7.587392	0.06192141	-0.7713568	0.06282969	-0.7704485	0.8988533	0.2884177	0.9310065	0.02444827	0.9787661	0.928386	0.9922076	0.3044204
dmr_31a_19 	 dmr_31a 	10.64995	10.42153	10.24468	10.39474	10.35442	10.02018	10.33956	10.3439	10.24383	10.19052	10.27661	10.31008	10.38086	10.38871	10.10425	10.18838	10.10277	10.00891	9.708357	10.36061	10.22634	10.22847	10.03271	0.1321454	0.1936333	0.1342687	0.1957567	0.1482215	0.4244982	0.1068283	0.4216059	0.54189	0.928386	0.6443083	0.8827248
A_54_P4207 	 mmu-miR-24-1* 	2.986931	2.950244	3.43668	1.965378	1.73696	1.948077	2.766408	2.935591	2.309791	1.96578	2.951056	1.767974	1.727836	1.7852	1.547935	2.775794	1.66875	2.970261	2.376964	2.469941	2.57075	2.082785	2.358353	0.3871566	0.212397	-0.100809	-0.2755686	0.2633889	0.7295712	0.8508739	0.5626248	0.6580461	0.9605641	0.9829443	0.9067773
A_54_P2773 	 mmu-miR-467a 	2.52028	0.987529	2.528448	0.7940741	0.8235858	4.069207	4.174002	2.99524	2.854697	2.614507	1.838403	1.091582	2.148775	0.843571	0.4643888	0.972225	2.353946	3.114674	2.448721	2.337703	2.665884	1.260686	2.570723	1.077017	0.09516059	-0.3281813	-1.310038	0.1232462	0.7772082	0.5857824	0.01884393	0.5199239	0.961546	0.9676963	0.2693984
mr_1_20 	 mr_1 	7.694143	7.463255	7.433948	7.773763	7.029105	7.860465	8.175434	7.824515	7.724897	7.140951	7.450253	6.796002	7.018313	7.23044	6.646809	6.936771	6.932862	7.251735	8.622795	7.688669	7.433265	6.998856	7.630948	0.6898127	-0.1976823	0.2554035	-0.6320916	0.002928661	0.7381671	0.2937893	0.3330203	0.1681022	0.9605641	0.8894326	0.8585158
NC2_00106057 	 NC2_00106057 	3.186561	3.354042	3.345167	3.07342	3.24165	3.43614	3.446819	3.39404	3.470617	3.571431	3.334755	3.435078	2.866099	3.409441	3.209515	3.308233	3.283984	3.374244	3.420114	3.304667	3.462405	3.330168	3.220152	-0.02550043	0.2422528	-0.1577377	0.1100156	0.6950266	0.3050479	0.1226948	0.6008753	0.9190644	0.928386	0.6819346	0.90756
A_54_P2442 	 mmu-miR-302a 	1.14677	1.685728	1.959132	1.40078	1.357065	1.877624	2.121689	1.800884	1.19392	2.751263	2.185588	1.58931	1.572036	2.004457	1.19054	1.576318	1.091616	1.445209	1.845798	1.62722	1.968105	1.606305	1.621014	0.02091547	0.3470907	-0.3408847	-0.01470946	0.9256736	0.5247989	0.5321697	0.9467066	0.986231	0.9317511	0.9639152	0.9810167
