ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
A_54_P3042 	 mmu-miR-876-3p 	1.869997	1.559299	1.912044	0	2.003686	1.763365	0.4613499	2.041139	0.7222385	1.316352	2.082377	1.303333	1.106828	0	0.8171803	1.659356	0.8920139	2.488427	0.8361429	1.385548	1.316878	1.12571	1.477133	0.2598382	-0.1602547	0.06867008	-0.3514227	0.5563384	0.8093972	0.8871673	0.5895598	0.860708	0.9673888	0.9829443	0.90756
A_54_P2793 	 mmu-miR-485 	1.739848	0	1.831877	0	0.7570232	3.560715	0.9107327	2.007196	0	2.592158	3.523562	0	0	1.803227	0.4854268	0	0	0.07038933	2.914565	1.282216	1.474678	0.9687026	0.9949846	0.3135137	0.4796938	-0.1924621	-0.02628198	0.6870266	0.7173576	0.843076	0.9825985	0.915027	0.9605641	0.9820355	0.9928875
A_54_P1811 	 mmu-miR-592 	4.028485	2.157215	3.899609	0.4510587	1.059697	1.607985	1.636232	1.362381	3.368504	2.779051	1.738208	2.906339	2.693114	1.540657	2.316762	3.56953	3.741176	3.416995	2.841611	1.757579	3.349055	2.635445	2.983907	-0.8778662	0.365148	-1.591476	-0.3484614	0.1523882	0.4105283	0.01941298	0.4517815	0.54189	0.928386	0.2827702	0.891705
A_54_P2362 	 mmu-miR-188-5p 	3.872772	4.359736	2.855589	4.854123	4.07104	4.053997	4.975657	5.025901	2.411816	2.035895	4.72478	1.877143	2.472007	2.208087	1.916649	2.839131	1.974713	2.566008	4.440706	4.459032	2.434433	2.590084	3.159574	1.868948	-0.7251409	2.024599	-0.56949	0.007073209	0.3791822	0.001528328	0.507136	0.2157391	0.928386	0.04377453	0.8932426
A_54_P1855 	 mmu-miR-670 	0	1.372081	2.055879	2.283864	1.518691	0	0.750401	1.282945	2.088453	0	1.291278	1.250401	0.1780719	1.818179	1.459193	2.214674	2.48102	2.161671	0.510882	1.029712	1.381444	1.752458	0.9502082	-0.7227459	0.4312356	-0.3517321	0.8022493	0.08496242	0.6652382	0.6760424	0.3200191	0.4840295	0.9605641	0.9676963	0.8585158
A_54_P2645 	 mmu-miR-224 	0.4159386	0.820773	1.597201	1.310293	1.144917	0	0.777908	0	0.961099	0.2270879	1.464895	1.421047	0.8479969	0.9016135	1.255291	0.8956153	3.746648	2.569276	2.056842	0.6385472	0.9284627	1.614185	1.824705	-0.9756378	-0.8962423	-0.2899155	-0.21052	0.08186061	0.2416369	0.5580496	0.7670154	0.4840295	0.928386	0.9676963	0.9556333
A_54_P1123 	 mmu-miR-181a 	1.392004	2.013514	4.242736	2.97988	1.199742	2.793447	2.487075	1.692132	2.194968	1.149028	1.68496	1.414181	1.301816	1.879485	0	1.000481	2.927631	1.752287	2.030933	2.079685	2.528911	1.484456	1.695012	0.5952286	0.8338988	-0.4492258	-0.2105555	0.2425637	0.4576825	0.675434	0.6543525	0.643484	0.928386	0.9676963	0.9372173
A_54_P3507 	 mmu-miR-19a* 	1.945962	2.029582	1.689256	1.729716	1.729716	0.8797484	0.796653	1.683084	1.197531	0.869924	2.336317	2.43603	2.053677	0.6132543	0.9457096	2.158413	1.130344	0.660964	2.379972	1.542066	1.252237	1.603345	1.698204	-0.06127879	-0.4459671	0.2898289	-0.09485944	0.874436	0.5007994	0.3862626	0.8864692	0.9741921	0.9317511	0.955219	0.9721649
A_54_P3344 	 mmu-miR-191* 	2.187317	0.9205986	1.880411	1.020592	1.03896	0.6714518	2.679897	1.531086	0.489962	0.5653313	2.234738	0.7349223	2.319659	0.2608029	1.547382	1.928055	1.900108	1.291658	1.197466	1.4357	0.9785682	1.434335	1.602928	0.001365893	-0.6243595	0.4571323	-0.1685931	0.997477	0.3429439	0.4423742	0.738538	0.997477	0.928386	0.955219	0.9522769
A_54_P1484 	 mmu-miR-181c 	1.012238	2.468583	1.427346	0.8369873	0.9987962	1.275398	2.68407	1.800058	1.586263	1.434754	1.452795	1.883604	1.710136	0.4686641	1.070498	1.42949	2.812237	3.32563	1.723028	1.582304	1.482788	1.519548	2.252931	0.06275612	-0.7701432	0.0995163	-0.733383	0.8864955	0.2870387	0.7404608	0.314386	0.9775458	0.928386	0.9676963	0.8585158
A_54_P2286 	 mmu-miR-126-3p 	10.33371	9.544897	10.6386	10.13509	9.19978	9.146047	10.17124	9.49319	9.464097	8.932582	9.689905	9.518966	9.605466	9.435805	9.265376	10.01768	9.584527	9.600658	9.59468	9.717707	9.678427	9.585377	9.600268	0.1323298	0.07815952	0.03927974	-0.01489051	0.5479979	0.8909998	0.9470048	0.8921933	0.8540854	0.9761747	0.9922076	0.9721649
A_54_P1209 	 mmu-miR-292-5p 	0.5992777	2.693974	1.584262	2.665549	1.71622	2.087532	2.207766	0.636856	1.237138	1.127386	2.633372	1.602142	1.060018	1.98893	1.369107	1.067463	0.7698037	2.713929	0.778554	1.801025	1.316262	1.571803	1.5175	0.2292219	-0.2012381	0.4847628	0.05430278	0.6039919	0.7734374	0.215184	0.9400938	0.8872432	0.9608407	0.826478	0.9778063
A_54_P3592 	 mmu-miR-483* 	1.035902	2.140523	1.63726	2.218134	1.65966	2.235211	1.792605	1.322595	2.302162	1.709565	1.520881	2.378355	2.127731	2.065189	1.226149	1.716546	1.173052	1.406207	2.046023	1.77209	1.882996	1.680029	1.859987	0.09206124	0.02300905	-0.1109057	-0.1799579	0.7321307	0.9445035	0.7031879	0.5743265	0.9205291	0.9787338	0.9676963	0.90756
A_54_P3619 	 mmu-miR-374* 	1.37588	1.890363	2.268523	1.621837	2.741767	1.251055	2.206683	0.9852385	2.327691	1.084804	0.927522	1.925833	1.858073	1.639289	1.452049	1.514049	1.198795	1.555438	2.212918	1.724689	1.893673	1.442923	1.875476	0.281766	0.01819655	-0.1689838	-0.4325532	0.3202359	0.9702304	0.737917	0.1368729	0.6983675	0.9907643	0.9676963	0.6773456
A_54_P3550 	 mmu-miR-376a* 	1.575214	1.922457	1.823396	2.9644	2.092491	2.834886	1.706334	1.433358	0.2924813	2.145998	2.741525	2.568328	0	1.33188	1.58387	1.373259	1.942577	1.43131	1.212626	2.075591	1.420625	1.923573	0.8813118	0.1520181	0.5393135	0.654966	1.042261	0.661428	0.5003587	0.3741077	0.1248449	0.9085656	0.9317511	0.9438272	0.655648
